Terms,Replace
"^protocolalgorithms[ ]{1,}|[ ]{1,}protocolalgorithms[ ]{1,}|[ ]{1,}protocolalgorithms$",     algorithms     
"^mining[ ]{1,}|[ ]{1,}mining[ ]{1,}|[ ]{1,}mining$",     data-mining     
"^data-miningstrong[ ]{1,}|[ ]{1,}data-miningstrong[ ]{1,}|[ ]{1,}data-miningstrong$",     data-mining     
"^data-miningunderstanding[ ]{1,}|[ ]{1,}data-miningunderstanding[ ]{1,}|[ ]{1,}data-miningunderstanding$",     data-mining     
"^mathematicians[ ]{1,}|[ ]{1,}mathematicians[ ]{1,}|[ ]{1,}mathematicians$",     mathematics     
"^mathstatistics[ ]{1,}|[ ]{1,}mathstatistics[ ]{1,}|[ ]{1,}mathstatistics$",     mathematics     
"^analytic[ ]{1,}|[ ]{1,}analytic[ ]{1,}|[ ]{1,}analytic$",     analytics     
"^predictive[ ]{1,}|[ ]{1,}predictive[ ]{1,}|[ ]{1,}predictive$",     modeling     
"^program[ ]{1,}|[ ]{1,}program[ ]{1,}|[ ]{1,}program$",     programming     
"^solve[ ]{1,}|[ ]{1,}solve[ ]{1,}|[ ]{1,}solve$",     problem-solving     
"^problems[ ]{1,}|[ ]{1,}problems[ ]{1,}|[ ]{1,}problems$",     problem-solving     
"^problem[ ]{1,}|[ ]{1,}problem[ ]{1,}|[ ]{1,}problem$",     problem-solving     
"^languages[ ]{1,}|[ ]{1,}languages[ ]{1,}|[ ]{1,}languages$",     programming     
"^language[ ]{1,}|[ ]{1,}language[ ]{1,}|[ ]{1,}language$",     programming     
"^processing[ ]{1,}|[ ]{1,}processing[ ]{1,}|[ ]{1,}processing$",     data-processing     
"^process[ ]{1,}|[ ]{1,}process[ ]{1,}|[ ]{1,}process$",     data-processing     
"^intelligence[ ]{1,}|[ ]{1,}intelligence[ ]{1,}|[ ]{1,}intelligence$",     artificial-intelligence     
"^business intelligenceanalysis[ ]{1,}|[ ]{1,}business intelligenceanalysis[ ]{1,}|[ ]{1,}business intelligenceanalysis$",     artificial-intelligence     
"^business intelligenceexpert[ ]{1,}|[ ]{1,}business intelligenceexpert[ ]{1,}|[ ]{1,}business intelligenceexpert$",     artificial-intelligence     
"^defenseintelligence[ ]{1,}|[ ]{1,}defenseintelligence[ ]{1,}|[ ]{1,}defenseintelligence$",     artificial-intelligence     
"^quantitative[ ]{1,}|[ ]{1,}quantitative[ ]{1,}|[ ]{1,}quantitative$",     analytics     
"^analyze[ ]{1,}|[ ]{1,}analyze[ ]{1,}|[ ]{1,}analyze$",     analytics     
"^solving[ ]{1,}|[ ]{1,}solving[ ]{1,}|[ ]{1,}solving$",     problem-solving     
"^teams[ ]{1,}|[ ]{1,}teams[ ]{1,}|[ ]{1,}teams$",     team     
"^databases[ ]{1,}|[ ]{1,}databases[ ]{1,}|[ ]{1,}databases$",     database  
"^databasesexperience[ ]{1,}|[ ]{1,}databasesexperience[ ]{1,}|[ ]{1,}databasesexperience$",     database  
"^databaseskills[ ]{1,}|[ ]{1,}databaseskills[ ]{1,}|[ ]{1,}databaseskills$",     database  
"^decision[ ]{1,}|[ ]{1,}decision[ ]{1,}|[ ]{1,}decision$",     decisions-science  
"^decisioning[ ]{1,}|[ ]{1,}decisioning[ ]{1,}|[ ]{1,}decisioning$",     decisions-science  
"^decisionstree[ ]{1,}|[ ]{1,}decisionstree[ ]{1,}|[ ]{1,}decisionstree$",     decisions-science  
"^decisionsforest [ ]{1,}|[ ]{1,}decisionsforest [ ]{1,}|[ ]{1,}decisionsforest $",     decisions-science  
"^decisionspoints[ ]{1,}|[ ]{1,}decisionspoints[ ]{1,}|[ ]{1,}decisionspoints$",     decisions-science  
"^decisionsrules[ ]{1,}|[ ]{1,}decisionsrules[ ]{1,}|[ ]{1,}decisionsrules$",     decisions-science     
"^decisionsscience[ ]{1,}|[ ]{1,}decisionsscience[ ]{1,}|[ ]{1,}decisionsscience$",     decisions-science     
"^decisionssupports[ ]{1,}|[ ]{1,}decisionssupports[ ]{1,}|[ ]{1,}decisionssupports$",     decisions-science     
"^decisionstools[ ]{1,}|[ ]{1,}decisionstools[ ]{1,}|[ ]{1,}decisionstools$",     decisions-science     
"^communicate[ ]{1,}|[ ]{1,}communicate[ ]{1,}|[ ]{1,}communicate$",     communication        
"^tableauyou[ ]{1,}|[ ]{1,}tableauyou[ ]{1,}|[ ]{1,}tableauyou$",     tableau         
"^tableu[ ]{1,}|[ ]{1,}tableu[ ]{1,}|[ ]{1,}tableu$",     tableau        
"^collaborates[ ]{1,}|[ ]{1,}collaborates[ ]{1,}|[ ]{1,}collaborates$",     collaborate      
"^communicating[ ]{1,}|[ ]{1,}communicating[ ]{1,}|[ ]{1,}communicating$",     communication        
"^communications[ ]{1,}|[ ]{1,}communications[ ]{1,}|[ ]{1,}communications$",     communication         
"^cloud[ ]{1,}|[ ]{1,}cloud[ ]{1,}|[ ]{1,}cloud$",     cloud-computing       
"^cloudbase[ ]{1,}|[ ]{1,}cloudbase[ ]{1,}|[ ]{1,}cloudbase$",     cloud-computing       
